Province;anio;pib
Araba/Alava;2015-01-01;35,074
Albacete;2015-01-01;18,884
Alicante/Alacant;2015-01-01;17,635
Almeria;2015-01-01;18,724
Avila;2015-01-01;18,220
Badajoz;2015-01-01;16,731
Illes Balears;2015-01-01;25,732
Barcelona;2015-01-01;27,849
Burgos;2015-01-01;25,585
Caceres;2015-01-01;17,435
Cadiz;2015-01-01;16,255
Castellon/Castello;2015-01-01;23,661
Ceuta;2015-01-01;17,757
Ciudad Real;2015-01-01;19,744
Cordoba;2015-01-01;16,862
A Coruna;2015-01-01;21,843
Cuenca;2015-01-01;20,663
Girona;2015-01-01;26,721
Granada;2015-01-01;17,320
Guadalajara;2015-01-01;17,794
Gipuzkoa;2015-01-01;29,424
Huelva;2015-01-01;17,177
Huesca;2015-01-01;25,867
Jaen;2015-01-01;17,128
Leon;2015-01-01;19,456
Lleida;2015-01-01;29,091
La Rioja;2015-01-01;25,594
Lugo;2015-01-01;22,265
Madrid;2015-01-01;32,275
Malaga;2015-01-01;17,077
Melilla;2015-01-01;16,506
Murcia;2015-01-01;19,901
Navarra;2015-01-01;28,761
Ourense;2015-01-01;19,284
Asturias;2015-01-01;20,497
Palencia;2015-01-01;23,857
Las Palmas;2015-01-01;18,321
Pontevedra;2015-01-01;19,932
Salamanca;2015-01-01;18,417
Santa Cruz de Tenerife;2015-01-01;19,494
Cantabria;2015-01-01;21,329
Segovia;2015-01-01;21,609
Sevilla;2015-01-01;18,594
Soria;2015-01-01;23,763
