Sexo;Provincias;Periodo;Total
Ambos sexos;48 Bizkaia;2006;81,11
Ambos sexos;48 Bizkaia;2005;80,64
Ambos sexos;48 Bizkaia;2004;80,45
Ambos sexos;48 Bizkaia;2003;79,94
Ambos sexos;48 Bizkaia;2002;79,85
Ambos sexos;48 Bizkaia;2001;80,08
Ambos sexos;48 Bizkaia;2000;79,30
Ambos sexos;48 Bizkaia;1999;79,29
Ambos sexos;48 Bizkaia;1998;78,91
Ambos sexos;48 Bizkaia;1997;78,90
Ambos sexos;48 Bizkaia;1996;78,05
Ambos sexos;48 Bizkaia;1995;77,73
Ambos sexos;48 Bizkaia;1994;78,22
Ambos sexos;48 Bizkaia;1993;77,91
Ambos sexos;48 Bizkaia;1992;77,33
Ambos sexos;48 Bizkaia;1991;77,09
Ambos sexos;48 Bizkaia;1990;76,44
Ambos sexos;48 Bizkaia;1989;76,94
Ambos sexos;48 Bizkaia;1988;76,53
Ambos sexos;48 Bizkaia;1987;76,29
Ambos sexos;48 Bizkaia;1986;75,72
Ambos sexos;48 Bizkaia;1985;75,75
Ambos sexos;48 Bizkaia;1984;75,33
Ambos sexos;48 Bizkaia;1983;75,40
Ambos sexos;48 Bizkaia;1982;75,28
Ambos sexos;48 Bizkaia;1981;74,31
Ambos sexos;48 Bizkaia;1980;73,98
Ambos sexos;48 Bizkaia;1979;73,83
Ambos sexos;48 Bizkaia;1978;73,59
Ambos sexos;48 Bizkaia;1977;73,22
Ambos sexos;48 Bizkaia;1976;73,11
Ambos sexos;48 Bizkaia;1975;72,50
Ambos sexos;09 Burgos;2023;84,23
Ambos sexos;09 Burgos;2022;83,87
Ambos sexos;09 Burgos;2021;84,55
Ambos sexos;09 Burgos;2020;83,18
Ambos sexos;09 Burgos;2019;84,52
Ambos sexos;09 Burgos;2018;84,08
Ambos sexos;09 Burgos;2017;83,82
Ambos sexos;09 Burgos;2016;84,09
Ambos sexos;09 Burgos;2015;84,22
Ambos sexos;09 Burgos;2014;83,60
Ambos sexos;09 Burgos;2013;83,57
Ambos sexos;09 Burgos;2012;82,89
Ambos sexos;09 Burgos;2011;82,96
Ambos sexos;09 Burgos;2010;83,17
Ambos sexos;09 Burgos;2009;82,34
Ambos sexos;09 Burgos;2008;82,09
Ambos sexos;09 Burgos;2007;82,09
Ambos sexos;09 Burgos;2006;82,15
Ambos sexos;09 Burgos;2005;80,81
Ambos sexos;09 Burgos;2004;81,95
Ambos sexos;09 Burgos;2003;80,91
Ambos sexos;09 Burgos;2002;80,88
Ambos sexos;09 Burgos;2001;81,40
Ambos sexos;09 Burgos;2000;80,47
Ambos sexos;09 Burgos;1999;80,26
Ambos sexos;09 Burgos;1998;79,79
Ambos sexos;09 Burgos;1997;79,54
Ambos sexos;09 Burgos;1996;79,61
Ambos sexos;09 Burgos;1995;79,25
Ambos sexos;09 Burgos;1994;79,15
Ambos sexos;09 Burgos;1993;78,70
Ambos sexos;09 Burgos;1992;78,64
Ambos sexos;09 Burgos;1991;77,75
Ambos sexos;09 Burgos;1990;77,78
Ambos sexos;09 Burgos;1989;77,47
Ambos sexos;09 Burgos;1988;77,15
Ambos sexos;09 Burgos;1987;77,59
Ambos sexos;09 Burgos;1986;77,26
Ambos sexos;09 Burgos;1985;77,09
Ambos sexos;09 Burgos;1984;77,66
Ambos sexos;09 Burgos;1983;77,50
Ambos sexos;09 Burgos;1982;77,97
Ambos sexos;09 Burgos;1981;76,86
Ambos sexos;09 Burgos;1980;76,37
Ambos sexos;09 Burgos;1979;75,74
Ambos sexos;09 Burgos;1978;75,29
Ambos sexos;09 Burgos;1977;74,18
Ambos sexos;09 Burgos;1976;73,71
Ambos sexos;09 Burgos;1975;73,43
Ambos sexos;10 Cáceres;2023;83,28
Ambos sexos;10 Cáceres;2022;82,53
Ambos sexos;10 Cáceres;2021;82,62
Ambos sexos;10 Cáceres;2020;81,72
Ambos sexos;10 Cáceres;2019;83,47
Ambos sexos;10 Cáceres;2018;82,88
Ambos sexos;10 Cáceres;2017;82,47
Ambos sexos;10 Cáceres;2016;82,82
Ambos sexos;10 Cáceres;2015;82,54
Ambos sexos;10 Cáceres;2014;83,21
Ambos sexos;10 Cáceres;2013;82,34
Ambos sexos;10 Cáceres;2012;82,01
Ambos sexos;10 Cáceres;2011;82,19
Ambos sexos;10 Cáceres;2010;81,99
Ambos sexos;10 Cáceres;2009;81,86
Ambos sexos;10 Cáceres;2008;81,69
Ambos sexos;10 Cáceres;2007;80,73
Ambos sexos;10 Cáceres;2006;81,20
Ambos sexos;10 Cáceres;2005;80,17
Ambos sexos;10 Cáceres;2004;80,19
Ambos sexos;10 Cáceres;2003;79,43
Ambos sexos;10 Cáceres;2002;80,13
Ambos sexos;10 Cáceres;2001;79,67
Ambos sexos;10 Cáceres;2000;79,49
Ambos sexos;10 Cáceres;1999;79,16
Ambos sexos;10 Cáceres;1998;78,89
Ambos sexos;10 Cáceres;1997;78,91
Ambos sexos;10 Cáceres;1996;78,70
Ambos sexos;10 Cáceres;1995;78,56
Ambos sexos;10 Cáceres;1994;78,59
Ambos sexos;10 Cáceres;1993;78,24
Ambos sexos;10 Cáceres;1992;77,95
Ambos sexos;10 Cáceres;1991;77,64
Ambos sexos;10 Cáceres;1990;77,11
Ambos sexos;10 Cáceres;1989;77,14
Ambos sexos;10 Cáceres;1988;76,94
Ambos sexos;10 Cáceres;1987;76,85
Ambos sexos;10 Cáceres;1986;76,18
Ambos sexos;10 Cáceres;1985;76,22
Ambos sexos;10 Cáceres;1984;75,85
Ambos sexos;10 Cáceres;1983;75,42
Ambos sexos;10 Cáceres;1982;76,27
Ambos sexos;10 Cáceres;1981;75,40
Ambos sexos;10 Cáceres;1980;74,62
Ambos sexos;10 Cáceres;1979;74,56
Ambos sexos;10 Cáceres;1978;74,46
Ambos sexos;10 Cáceres;1977;74,15
Ambos sexos;10 Cáceres;1976;73,70
Ambos sexos;10 Cáceres;1975;73,24
Ambos sexos;11 Cádiz;2023;82,01
Ambos sexos;11 Cádiz;2022;81,44
Ambos sexos;11 Cádiz;2021;80,75
Ambos sexos;11 Cádiz;2020;81,08
Ambos sexos;11 Cádiz;2019;81,71
Ambos sexos;11 Cádiz;2018;81,01
Ambos sexos;11 Cádiz;2017;81,27
Ambos sexos;11 Cádiz;2016;81,05
Ambos sexos;11 Cádiz;2015;80,82
Ambos sexos;11 Cádiz;2014;81,17
