Air Pollutant,Air Pollutant Description,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,Province,Quality,Respiratory_diseases_total,Life_expectancy_total,pib
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,30.536,ug/m3,Industrial,urban,-6.9351,37.2534,18.0,Huelva,BUENA,460.0,77.94,13.036
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,53.649,ug/m3,Traffic,urban,-3.6453,40.4081,685.0,Madrid,RAZONABLEMENTE BUENA,4.662,80.36,21.177
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,36.23,ug/m3,Traffic,suburban,-2.9634,43.1441,122.0,Araba/Alava,BUENA,224.0,80.15,22.134
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,55.747,ug/m3,Traffic,urban,-3.6044,40.4503,637.0,Madrid,RAZONABLEMENTE BUENA,4.662,80.36,21.177
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,18.037,ug/m3,Traffic,urban,2.8231,42.0186,55.0,Girona,BUENA,468.0,79.76,19.517
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,25.641,ug/m3,Industrial,suburban,1.1518,41.1121,41.0,Tarragona,BUENA,630.0,79.2,20.226
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,34.86,ug/m3,Traffic,urban,-0.4933,38.3417,55.0,Alicante/Alacant,BUENA,1.221,78.89,14.14
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,52.51,ug/m3,Traffic,urban,-0.8939,41.6392,214.0,Zaragoza,RAZONABLEMENTE BUENA,973.0,79.68,17.189
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,16.505,ug/m3,Traffic,rural,1.2114,41.1897,98.0,Tarragona,BUENA,630.0,79.2,20.226
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,49.478,ug/m3,Traffic,urban,2.1014,41.5612,210.0,Barcelona,RAZONABLEMENTE BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,18.649,ug/m3,Industrial,suburban,-0.0572,40.0128,106.0,Castellon/Castello,BUENA,436.0,79.17,18.402
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,34.716,ug/m3,Background,urban,2.089,41.4768,113.0,Barcelona,BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,7.218,ug/m3,Industrial,rural,0.0847,40.6917,1200.0,Castellon/Castello,BUENA,436.0,79.17,18.402
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,13.6,ug/m3,Industrial,rural,1.2367,41.1936,97.0,Tarragona,BUENA,630.0,79.2,20.226
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,28.067,ug/m3,Industrial,suburban,0.0106,39.9819,10.0,Castellon/Castello,BUENA,436.0,79.17,18.402
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,47.234,ug/m3,Traffic,urban,2.115,41.3705,29.0,Barcelona,RAZONABLEMENTE BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2001-01-01,53.582,ug/m3,Traffic,urban,2.1192,41.53,190.0,Barcelona,RAZONABLEMENTE BUENA,3.854,79.87,20.798
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2001-01-01,23.106,ug/m3,Background,suburban,-3.2646,40.571,630.0,Guadalajara,BUENA,210.0,81.09,15.921
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2001-01-01,49.05,ug/m3,Traffic,suburban,-0.8711,41.6703,195.0,Zaragoza,RAZONABLEMENTE BUENA,868.0,80.04,18.273
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2001-01-01,26.388,ug/m3,Background,suburban,2.2873,42.0033,460.0,Barcelona,BUENA,3.854,79.87,20.798
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2001-01-01,47.293,ug/m3,Traffic,urban,2.1014,41.5612,210.0,Barcelona,RAZONABLEMENTE BUENA,3.854,79.87,20.798
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2001-01-01,20.207,ug/m3,Industrial,rural,-6.5011,42.8394,900.0,Leon,BUENA,592.0,80.45,14.196
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2001-01-01,26.554,ug/m3,Traffic,urban,1.8253,41.7303,238.0,Barcelona,BUENA,3.854,79.87,20.798
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2001-01-01,10.311,ug/m3,Industrial,rural,-0.1481,40.8517,600.0,Teruel,BUENA,188.0,80.98,18.328
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2001-01-01,37.274,ug/m3,Traffic,urban,-3.4831,40.4561,585.0,Madrid,BUENA,4.805,80.58,22.875
