Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency,Province
Spain,NET_ES205A,CCAA Islas Canarias,ES1865A,CENTRO DE ARTE JUAN ISMAEL,SP_35017001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.454,ug/m3,93.02,3.0,Industrial,Urban,-13.8524,28.5003,20.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Las Palmas
Spain,NET_ES204A,CCAA Islas Baleares,ES1093A,S'ALBUFERA,SP_07003001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.979,ug/m3,97.73,3.0,Background,Rural,3.0753,39.7912,6.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Illes Balears
Spain,NET_ES206A,CCAA Cantabria,ES1577A,PARQUE DE CROSS,SP_39016003_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.264,ug/m3,98.27,3.0,Industrial,Urban,-3.8411,43.4208,10.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Cantabria
Spain,NET_ES207A,CCAA Cast. la Mancha,ES1857A,CIUDAD REAL,SP_13034002_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.589,ug/m3,99.01,3.0,Background,Suburban,-3.9378,38.9939,635.0,Ciudad Real                                                                     ,ES053C1                                           ,75504.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Ciudad Real
Spain,NET_ES203A,CCAA Asturias,ES1358A,AVENIDA DE CASTILLA,SP_33024027_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.083,ug/m3,98.92,3.0,Traffic,Urban,-5.6461,43.5378,19.0,Gijón                                                                           ,ES023C1                                           ,271717.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Asturias / Asturies
Spain,NET_ES202A,CCAA Aragón,ES1417A,HUESCA,SP_22125001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.182,ug/m3,97.07,3.0,Traffic,Urban,-0.4039,42.1361,488.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Huesca
Spain,NET_ES207A,CCAA Cast. la Mancha,ES1365A,BARRIO 630,SP_13071017_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,3.839,ug/m3,98.74,3.0,Industrial,Suburban,-4.112,38.7027,685.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Ciudad Real
Spain,NET_ES208A,CCAA Castilla y León,ES1989A,LARIO,SP_24025001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.31,ug/m3,98.18,3.0,Background,Rural,-5.0897,43.0414,1140.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,León
Spain,NET_ES204A,CCAA Islas Baleares,ES1604A,BELLVER,SP_07040003_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.554,ug/m3,98.93,3.0,Background,Suburban,2.6217,39.5645,117.0,Palma de Mallorca                                                               ,ES010C1                                           ,422587.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Illes Balears
Spain,NET_ES209A,CCAA Cataluña,ES1480A,BARCELONA (GRÀCIA - SANT GERVASI),SP_08019044_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.802,ug/m3,95.65,3.0,Traffic,Urban,2.1524,41.3996,61.0,Barcelona                                                                       ,ES002K2                                           ,3755512.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Barcelona
